adm2_name,group,period,H38_bar,H46_bar,S_share,RWI_bar,Haz,Mag,PovScore,HVI,Rank,heat_exposed,screening_class,priority_hazard_gated,rank_hazard_gated,priority_equal_weight_gated,rank_equal_weight_gated
Ganze,age60plus,2025,78.03759249658296,0.0,100.0,-0.4934395973154362,48.08000474778542,48.07669487049783,85.1172477582639,53.63459823617092,24,True,Severe-heat screening priority,53.63459823617092,24,60.424649125515714,15
Wajir East,age60plus,2025,165.02143279887173,0.0,100.0,-0.4302407407407406,68.23270545693214,12.16679485314758,82.37983206136073,53.535001266461066,25,True,Severe-heat screening priority,53.535001266461066,25,54.25977745714681,39
Isiolo South,age60plus,2025,137.13269129251657,0.0,100.0,-0.4844285714285714,61.77135058022012,22.57520665781496,84.72694127101362,53.45584600711761,26,True,Severe-heat screening priority,53.45584600711761,26,56.357832836349566,26
Matuga,age60plus,2025,55.12834762526753,0.0,100.0,-0.3186772151898734,42.77231594306354,54.86195866026577,77.54753346298577,51.61549138621255,27,True,Severe-heat screening priority,51.61549138621255,27,58.39393602210503,21
Samburu North,age60plus,2025,124.6401761089563,0.186441587566861,100.0,-0.5773098591549296,62.29092798925672,13.268395307367436,88.75003138294001,51.55303369374244,28,True,Severe-heat screening priority,51.55303369374244,28,54.76978489318805,36
Lunga Lunga,age60plus,2025,57.94391195039186,0.0,100.0,-0.3746108786610878,43.42463509768344,51.83178778928057,79.97026223799826,51.42862497620981,29,True,Severe-heat screening priority,51.42862497620981,29,58.40889504165409,20
Laisamis,age60plus,2025,132.19888950669582,0.0,100.0,-0.4733928571428571,60.62827124039839,17.707025331603415,84.24893677616096,51.29499729812429,30,True,Severe-heat screening priority,51.29499729812429,30,54.19474444938759,40
Kilifi North,age60plus,2025,33.86139065963359,0.0,100.0,-0.0581666666666666,37.8451177734577,68.45537254641906,66.2636953781396,51.290980846048384,31,True,Severe-heat screening priority,51.290980846048384,31,57.52139523267212,23
Lamu West,age60plus,2025,116.13512931791132,0.0,100.0,-0.4108380281690141,56.906566723524335,25.72280581058829,81.53941669888388,51.24636594594745,32,True,Severe-heat screening priority,51.24636594594745,32,54.72292974433217,37
Loima,age60plus,2025,117.49299727652487,0.0,100.0,-0.6202074235807861,57.22116201475751,19.76111210725848,90.60811035117996,50.99118929297117,33,True,Severe-heat screening priority,50.99118929297117,33,55.86346149106532,29
Kitui East,age60plus,2025,61.30674150893734,0.0,100.0,-0.5756778042959427,44.20374645208815,44.50635047211061,88.679340031366,50.96586669498656,34,True,Severe-heat screening priority,50.96586669498656,34,59.12981231852158,17
Mandera South,age60plus,2025,119.87632343584563,0.0,100.0,-0.7170000000000001,57.77333881695611,16.357201806755743,94.80061528551362,50.902589184179625,35,True,Severe-heat screening priority,50.902589184179625,35,56.31038530307516,27
Kaloleni,age60plus,2025,67.36755221118797,0.0,100.0,-0.2584732142857143,45.60793490494077,47.24117729387653,74.9398379124083,50.497693072741626,36,True,Severe-heat screening priority,50.497693072741626,36,55.92965003707519,28
Malindi,age60plus,2025,70.35541530837938,0.0,100.0,-0.2234507042253521,46.300172802788765,45.90713057012015,73.42286159384354,50.2506634516464,37,True,Severe-heat screening priority,50.2506634516464,37,55.21005498891748,33
Eldas,age60plus,2025,126.54308114459482,0.0,100.0,-0.63409375,59.31791505477122,8.793275897515462,91.2095871811816,48.94427412655605,38,True,Severe-heat screening priority,48.94427412655605,38,53.10692604448943,42
Kilifi South,age60plus,2025,44.0,0.0,100.0,-0.0811285714285714,40.19406395625791,54.78463253702932,67.25827474132386,48.630866148249225,39,True,Severe-heat screening priority,48.630866148249225,39,54.07899041153703,41
Kajiado West,age60plus,2025,70.73371748748528,0.0,100.0,-0.4457846410684474,46.3878190893478,35.51663667197409,83.0531055832934,48.626257338227525,40,True,Severe-heat screening priority,48.626257338227525,40,54.98585378153842,35
Rabai,age60plus,2025,56.88592816407556,0.0,100.0,-0.0414390243902439,43.17951795262907,43.56386318831471,65.53914887490437,46.64876616167606,41,True,Severe-heat screening priority,46.64876616167606,41,50.76084333861605,46
Mwingi East,age60plus,2025,42.83433793399023,0.0,100.0,-0.5590913348946136,39.92399955506956,37.21351795185665,87.96090833566373,46.31639139119481,42,True,Severe-heat screening priority,46.31639139119481,42,55.03280861419665,34
Moyale,age60plus,2025,69.23143492864939,0.0,100.0,-0.4997604166666666,46.03976535104908,26.73453468436124,85.3910297702675,46.15088581392549,43,True,Severe-heat screening priority,46.15088581392549,43,52.7217766018926,43
Tarbaj,age60plus,2025,106.20365760677932,0.0,100.0,-0.7199450549450549,54.6056108643642,1.0388820293092724,94.92817834712228,44.58397733626144,44,True,Severe-heat screening priority,44.58397733626144,44,50.19089041359859,47
Tharaka,age60plus,2025,40.7086526851768,0.0,100.0,-0.3955211864406779,39.4315138419496,32.80460288003275,80.8759780665002,43.660110187057136,45,True,Severe-heat screening priority,43.660110187057136,45,51.03736492949418,45
Tiaty,age60plus,2025,70.11243079497085,0.0,100.0,-0.5514280821917809,46.2438773557418,14.10114010406189,87.62897973165052,42.80882153662414,46,True,Severe-heat screening priority,42.80882153662414,46,49.32466573048473,50
Samburu West,age60plus,2025,42.830067925811214,0.0,100.0,-0.3899801980198019,39.92301026560432,27.77459370302099,80.63597390342271,42.38542984250208,47,True,Severe-heat screening priority,42.38542984250208,47,49.444525957349335,49
Lafey,age60plus,2025,78.87189044127837,0.0,100.0,-0.7854132231404959,48.27329762521268,3.835027383062013,97.763887740913,42.36540506992253,48,True,Severe-heat screening priority,42.36540506992253,48,49.95740424972923,48
Lamu East,age60plus,2025,105.7306209167745,0.0,100.0,-0.3882,54.49601617637407,0.0,80.55886583110748,42.05663877167186,49,True,Severe-heat screening priority,42.05663877167186,49,45.01829400249385,57
Wajir North,age60plus,2025,76.57777771160173,0.0,100.0,-0.6093723404255319,47.74179008227657,6.021869219735964,90.13879605794764,41.585364719865055,50,True,Severe-heat screening priority,41.585364719865055,50,47.967485119986726,55
Voi,age60plus,2025,37.09377253496825,0.0,100.0,-0.2737032258064516,38.59400658182612,29.88224409569112,75.59951555312016,41.53130418167972,51,True,Severe-heat screening priority,41.53130418167972,51,48.02525541021246,54
Sigor,age60plus,2025,42.99251855866762,0.0,100.0,-0.4916741573033708,39.9606473597196,19.926885923851128,85.04077891906493,40.71253866286087,52,True,Severe-heat screening priority,40.71253866286087,52,48.30943740087855,52
Makueni,age60plus,2025,0.30635090728877,0.0,0.0,-0.3493181818181818,0.0709763804990763,91.48629004625332,78.874726193403,39.316132952160935,53,True,Severe-heat screening priority,39.316132952160935,53,56.810664206718464,24
Mandera North,age60plus,2025,39.24089441219135,0.0,100.0,-0.66936,39.09145880315096,12.292492373042297,92.7371209302584,39.09861819318448,54,True,Severe-heat screening priority,39.09861819318448,54,48.04035736881722,53
