outcome,year,morans_I,permutation_p_two_sided,permutations,queen_links_directed,null_mean,null_sd
H38 polygon mean,2025,0.7702648600836135,0.001,999,1724,-0.0045874830472431675,0.03460386280167478
Hazard-gated priority: pregnancies,2025,0.8354484388868029,0.001,999,1724,-0.0040705349158772965,0.035473771703243416
Hazard-gated priority: u5,2025,0.8327053114612861,0.001,999,1724,-0.004079834382637251,0.03551879601483217
Hazard-gated priority: age60plus,2025,0.7871896906424224,0.001,999,1724,-0.003795220874142751,0.036074739626681514
